Block,#Transaction,#Contract,#Ret
3620,1,1,0
3629,1,1,0
3662,1,1,0
3667,1,1,0
3697,1,1,0
3706,1,1,0
3715,1,1,0
3723,1,1,0
3724,1,1,0
3738,1,1,0
3740,1,1,0
3750,1,1,0
3780,1,1,0
3783,1,1,0
3791,1,1,0
3803,1,1,0
3813,1,1,0
3819,1,1,0
3820,1,1,0
3828,1,1,0
3830,1,1,0
3856,1,1,0
3863,1,1,0
3865,1,1,0
3869,1,1,0
3876,1,1,0
3915,1,1,0
3919,1,1,0
3924,1,1,0
3928,1,1,0
3930,1,1,0
3932,1,1,0
3941,1,1,0
3994,1,1,0
4013,1,1,0
4022,1,1,0
4027,1,1,0
4033,1,1,0
4034,1,1,0
4040,1,1,0
4047,1,1,0
4054,1,1,0
4060,1,1,0
4064,2,2,0
4068,1,1,0
4074,1,1,0
4077,1,1,0
4083,1,1,0
4094,1,1,0
4098,2,2,0
4110,1,1,0
4119,1,1,0
4134,1,1,0
4136,1,1,0
4154,1,1,0
4155,1,1,0
4165,1,1,0
4168,1,1,0
4169,1,1,0
4176,1,1,0
4177,2,2,0
4182,1,1,0
4185,1,1,0
4199,1,1,0
4200,1,1,0
4201,1,1,0
4203,1,1,0
4210,1,1,0
4217,1,1,0
4222,1,1,0
4227,1,1,0
4231,1,1,0
4235,1,1,0
4243,1,1,0
4249,2,2,0
4257,1,1,0
4264,1,1,0
4265,1,1,0
4267,1,1,0
4268,1,1,0
4273,1,1,0
4303,1,1,0
4323,1,1,0
4336,1,1,0
4348,1,1,0
4355,2,2,0
4363,1,1,0
4366,1,1,0
4375,1,1,0
4386,2,2,0
4395,1,1,0
4439,1,1,0
4440,1,1,0
4468,1,1,0
4470,1,1,0
4483,1,1,0
4510,1,1,0
4519,1,1,0
4520,1,1,0
4531,1,1,0
4545,1,1,0
4552,1,1,0
4556,1,1,0
4564,1,1,0
4611,1,1,0
4649,1,1,0
4684,1,1,0
4690,1,1,0
4713,1,1,0
4718,1,1,0
4724,1,1,0
4731,1,1,0
4738,1,1,0
4742,1,1,0
4746,1,1,0
4812,1,1,0
4814,1,1,0
4834,2,2,0
4846,1,1,0
4851,1,1,0
4865,1,1,0
4868,1,1,0
4875,1,1,0
4895,1,1,0
4909,1,1,0
4911,1,1,0
4930,1,1,0
5003,1,1,0
5023,1,1,0
5049,1,1,0
5088,2,2,0
5089,1,1,0
5090,9,9,0
5091,5,5,0
5092,8,8,0
5093,8,8,0
5094,9,9,0
5095,8,8,0
5096,6,6,0
5121,1,1,0
5128,1,1,0
5134,1,1,0
5141,1,1,0
5153,1,1,0
5159,1,1,0
5162,1,1,0
5173,1,1,0
5179,1,1,0
5188,1,1,0
5194,9,9,0
5195,11,11,0
5196,11,11,0
5197,12,12,0
5198,11,11,0
5199,9,9,0
5200,11,11,0
5201,11,11,0
5202,10,10,0
5203,12,12,0
5204,10,10,0
5205,10,10,0
5206,13,13,0
5207,10,10,0
5208,10,10,0
5209,13,13,0
5210,10,10,0
5211,4,4,0
5214,1,1,0
5231,1,1,0
5247,1,1,0
5259,1,1,0
5278,1,1,0
5342,1,1,0
5365,4,4,0
5366,10,10,0
5367,10,10,0
5368,13,13,0
5369,10,10,0
5370,10,10,0
5371,11,11,0
5372,11,11,0
5373,10,10,0
5374,10,10,0
5375,11,11,0
5376,10,10,0
5377,10,10,0
5378,10,10,0
5379,9,9,0
5380,11,11,0
5381,12,12,0
5382,10,10,0
5383,10,10,0
5384,11,11,0
5385,11,11,0
5386,12,12,0
5387,11,11,0
5388,9,9,0
5389,11,11,0
5390,11,11,0
5391,11,11,0
5392,11,11,0
5393,9,9,0
5394,12,12,0
5395,12,12,0
5396,11,11,0
5397,9,9,0
5398,12,12,0
5399,10,10,0
5400,11,11,0
5401,12,12,0
5402,10,10,0
5403,11,11,0
5404,3,3,0
5439,1,1,0
5517,2,2,0
5527,1,1,0
5551,1,1,0
5552,1,1,0
5554,1,1,0
5558,1,1,0
5584,1,1,0
5586,1,1,0
5598,1,1,0
5604,1,1,0
5629,1,1,0
5630,1,1,0
5640,1,1,0
5675,1,1,0
5676,1,1,0
5682,1,1,0
5688,1,1,0
5709,1,1,0
5721,1,1,0
5735,1,1,0
5758,1,1,0
5777,1,1,0
5778,1,1,0
5786,1,1,0
5808,1,1,0
5824,1,1,0
5841,1,1,0
5847,1,1,0
5849,1,1,0
5852,1,1,0
5863,1,1,0
5883,1,1,0
5890,1,1,0
5910,1,1,0
5915,1,1,0
5916,1,1,0
5922,1,1,0
5949,1,1,0
5953,1,1,0
5965,1,1,0
5970,1,1,0
5971,1,1,0
5974,1,1,0
5981,2,2,0
5988,1,1,0
5989,1,1,0
6023,1,1,0
6032,1,1,0
6035,1,1,0
6048,1,1,0
6049,1,1,0
6053,1,1,0
6060,1,1,0
6086,1,1,0
6109,1,1,0
6121,1,1,0
6124,1,1,0
6131,1,1,0
6145,2,2,0
6151,1,1,0
6156,1,1,0
6184,1,1,0
6196,1,1,0
6230,1,1,0
6260,1,1,0
6268,1,1,0
6277,1,1,0
6285,1,1,0
6325,1,1,0
6356,1,1,0
6365,1,1,0
6368,1,1,0
6370,1,1,0
6371,1,1,0
6377,1,1,0
6383,1,1,0
6393,1,1,0
6422,1,1,0
6425,1,1,0
6436,1,1,0
6439,1,1,0
6504,1,1,0
6517,1,1,0
6544,1,1,0
6545,1,1,0
6560,1,1,0
6563,1,1,0
6599,1,1,0
6608,1,1,0
6631,1,1,0
6661,1,1,0
6676,1,1,0
6686,1,1,0
6710,1,1,0
6774,1,1,0
6786,1,1,0
6789,1,1,0
6823,1,1,0
6905,1,1,0
6919,1,1,0
6941,1,1,0
6945,1,1,0
6978,1,1,0
7001,1,1,0
7034,1,1,0
7082,1,1,0
7101,1,1,0
7171,1,1,0
7217,1,1,0
7259,1,1,0
7307,1,1,0
7308,1,1,0
7318,1,1,0
7351,1,1,0
7361,1,1,0
7379,1,1,0
7385,1,1,0
7419,1,1,0
7446,1,1,0
7536,2,2,0
7594,1,1,0
7606,1,1,0
7626,1,1,0
7873,1,1,0
7892,1,1,0
7898,1,1,0
7907,1,1,0
7921,1,1,0
7926,1,1,0
7935,1,1,0
7944,1,1,0
7965,1,1,0
7984,1,1,0
7986,1,1,0
8008,1,1,0
8029,1,1,0
8033,1,1,0
8138,1,1,0
8164,1,1,0
8228,1,1,0
8251,1,1,0
8252,1,1,0
8311,1,1,0
8324,1,1,0
8329,1,1,0
8333,1,1,0
8338,1,1,0
8376,1,1,0
8445,1,1,0
8499,1,1,0
8587,1,1,0
8612,1,1,0
8648,1,1,0
8660,2,2,0
8661,1,1,0
8677,1,1,0
8699,1,1,0
8743,1,1,0
8747,1,1,0
8768,1,1,0
8769,1,1,0
8775,1,1,0
8824,1,1,0
8900,1,1,0
8905,1,1,0
8936,1,1,0
8950,1,1,0
8973,1,1,0
9004,1,1,0
9060,1,1,0
9095,1,1,0
9103,1,1,0
9113,1,1,0
9147,1,1,0
9167,1,1,0
9184,1,1,0
9188,1,1,0
9228,1,1,0
9235,1,1,0
9298,1,1,0
9340,1,1,0
9349,1,1,0
9351,1,1,0
9372,1,1,0
9386,1,1,0
9392,1,1,0
9418,1,1,0
9441,5,5,0
9447,1,1,0
9468,1,1,0
9471,1,1,0
9489,1,1,0
9635,1,1,0
9697,1,1,0
9801,1,1,0
9818,1,1,0
9827,1,1,0
9864,1,1,0
9914,1,1,0
9929,1,1,0
9997,1,1,0
10011,1,1,0
10096,1,1,0
10162,1,1,0
10173,1,1,0
10214,1,1,0
10240,1,1,0
10283,1,1,0
10301,1,1,0
10431,1,1,0
10437,1,1,0
10459,1,1,0
10567,1,1,0
10570,1,1,0
10579,1,1,0
10590,1,1,0
10604,1,1,0
10659,1,1,0
10691,1,1,0
10720,1,1,0
10777,1,1,0
10779,1,1,0
10784,1,1,0
10792,1,1,0
10816,1,1,0
10825,1,1,0
10864,1,1,0
10877,1,1,0
10886,1,1,0
10889,1,1,0
10900,1,1,0
10929,1,1,0
10940,1,1,0
10952,1,1,0
10964,1,1,0
10967,1,1,0
10981,1,1,0
11016,1,1,0
11040,1,1,0
11050,1,1,0
11087,1,1,0
11094,1,1,0
11104,1,1,0
11105,1,1,0
11118,1,1,0
11119,1,1,0
11144,1,1,0
11178,1,1,0
11183,1,1,0
11184,1,1,0
11197,1,1,0
11231,1,1,0
11296,1,1,0
11305,1,1,0
11308,1,1,0
11362,1,1,0
11378,1,1,0
11412,1,1,0
11462,1,1,0
11540,1,1,0
11594,1,1,0
11604,1,1,0
11607,1,1,0
11641,1,1,0
11792,1,1,0
11820,1,1,0
11857,1,1,0
11897,1,1,0
11898,1,1,0
11924,1,1,0
11926,1,1,0
11964,1,1,0
11967,1,1,0
11980,1,1,0
11994,1,1,0
12002,1,1,0
12020,1,1,0
12027,1,1,0
12032,1,1,0
12041,1,1,0
12051,1,1,0
12108,1,1,0
12125,1,1,0
12193,1,1,0
12196,1,1,0
12230,1,1,0
12239,1,1,0
12272,1,1,0
12282,1,1,0
12284,1,1,0
12333,1,1,0
12359,1,1,0
12363,1,1,0
12401,1,1,0
12416,1,1,0
12433,1,1,0
12463,1,1,0
12472,1,1,0
12519,1,1,0
12606,1,1,0
12623,1,1,0
12638,1,1,0
12670,2,2,0
12705,1,1,0
12711,1,1,0
12719,1,1,0
12723,1,1,0
12724,1,1,0
12749,1,1,0
12794,1,1,0
12873,1,1,0
12985,1,1,0
13028,1,1,0
13252,1,1,0
13275,1,1,0
13285,1,1,0
13292,1,1,0
13381,1,1,0
13433,1,1,0
13470,1,1,0
13478,1,1,0
13529,1,1,0
13608,1,1,0
13736,1,1,0
13760,1,1,0
13777,1,1,0
13790,1,1,0
13814,1,1,0
13828,1,1,0
13843,1,1,0
13861,1,1,0
13874,1,1,0
13896,1,1,0
14129,1,1,0
14132,1,1,0
14147,1,1,0
14310,1,1,0
14325,1,1,0
14385,1,1,0
14429,1,1,0
14447,1,1,0
14475,1,1,0
14510,1,1,0
14564,1,1,0
14582,1,1,0
14590,1,1,0
14599,1,1,0
14617,1,1,0
14640,1,1,0
14663,1,1,0
14703,1,1,0
14708,1,1,0
14739,1,1,0
14786,1,1,0
14864,1,1,0
14888,1,1,0
14904,1,1,0
14914,1,1,0
14928,1,1,0
14955,1,1,0
14982,1,1,0
15007,1,1,0
15039,1,1,0
15068,1,1,0
15146,1,1,0
15201,1,1,0
15240,1,1,0
15279,1,1,0
15305,1,1,0
15352,1,1,0
15387,1,1,0
15429,1,1,0
15451,1,1,0
15467,1,1,0
15480,1,1,0
15493,1,1,0
15503,1,1,0
15524,1,1,0
15527,1,1,0
15659,1,1,0
15691,1,1,0
15901,2,2,0
15902,12,12,0
15903,9,9,0
15904,11,11,0
15905,12,12,0
15906,11,11,0
15907,11,11,0
15908,11,11,0
15909,11,11,0
15910,10,10,0
15911,9,9,0
15912,10,10,0
15913,11,11,0
15914,11,11,0
15915,11,11,0
15916,10,10,0
15917,10,10,0
15918,12,12,0
15919,11,11,0
15920,11,11,0
15921,11,11,0
15922,9,9,0
15923,13,13,0
15924,10,10,0
15925,10,10,0
15926,10,10,0
15927,10,10,0
15928,10,10,0
15929,11,11,0
15930,10,10,0
15931,11,11,0
15932,12,12,0
15933,10,10,0
15934,13,13,0
15935,10,10,0
15936,11,11,0
15937,10,10,0
15938,10,10,0
15939,11,11,0
15940,9,9,0
15941,11,11,0
15942,10,10,0
15943,9,9,0
15944,6,6,0
15966,1,1,0
15976,1,1,0
15983,1,1,0
16062,1,1,0
16065,1,1,0
16069,1,1,0
16073,1,1,0
16079,1,1,0
16103,1,1,0
16106,2,2,0
16116,1,1,0
16141,1,1,0
16162,1,1,0
16186,1,1,0
16195,1,1,0
16197,1,1,0
16199,1,1,0
16246,1,1,0
16272,1,1,0
16277,1,1,0
16294,1,1,0
16309,1,1,0
16310,1,1,0
16334,1,1,0
16339,1,1,0
16346,1,1,0
16352,1,1,0
16371,1,1,0
16385,1,1,0
16425,1,1,0
16430,1,1,0
16471,1,1,0
16571,1,1,0
16598,1,1,0
16693,1,1,0
16781,1,1,0
16792,1,1,0
16891,1,1,0
16894,1,1,0
16948,1,1,0
16954,1,1,0
16992,1,1,0
17000,1,1,0
17004,1,1,0
17064,1,1,0
17072,1,1,0
17085,1,1,0
17088,1,1,0
17100,1,1,0
17115,1,1,0
17123,1,1,0
17171,1,1,0
17196,1,1,0
17220,1,1,0
17240,1,1,0
17248,1,1,0
17299,1,1,0
17327,1,1,0
17341,1,1,0
17355,1,1,0
17387,1,1,0
17398,2,2,0
17420,1,1,0
17429,1,1,0
17430,1,1,0
17456,1,1,0
17526,1,1,0
17543,1,1,0
17606,1,1,0
17613,1,1,0
17688,1,1,0
17745,1,1,0
17753,1,1,0
17763,1,1,0
17767,1,1,0
17791,2,2,0
17796,1,1,0
17824,1,1,0
17847,1,1,0
17876,1,1,0
18040,1,1,0
18128,1,1,0
18231,1,1,0
18239,1,1,0
18265,1,1,0
18268,1,1,0
18378,1,1,0
18449,1,1,0
18470,1,1,0
18550,1,1,0
18575,1,1,0
18576,1,1,0
18581,1,1,0
18582,1,1,0
18600,1,1,0
18612,1,1,0
18659,1,1,0
18686,1,1,0
18716,1,1,0
18731,1,1,0
18770,1,1,0
18817,1,1,0
18920,1,1,0
18976,1,1,0
18985,1,1,0
19121,1,1,0
19122,1,1,0
19129,1,1,0
19230,1,1,0
19263,1,1,0
19350,1,1,0
19355,1,1,0
19380,1,1,0
19400,1,1,0
19404,1,1,0
19406,1,1,0
19409,1,1,0
19441,1,1,0
19457,1,1,0
19480,2,2,0
19496,1,1,0
19614,1,1,0
19621,1,1,0
19637,1,1,0
19642,1,1,0
19664,1,1,0
19696,1,1,0
19788,1,1,0
19789,4,4,0
19790,1,1,0
19796,1,1,0
19844,1,1,0
19903,1,1,0
19911,1,1,0
19998,1,1,0
20080,1,1,0
20161,1,1,0
20199,1,1,0
20209,1,1,0
20228,1,1,0
20440,1,1,0
20443,1,1,0
20489,1,1,0
20527,1,1,0
20550,1,1,0
20627,1,1,0
20636,1,1,0
20654,1,1,0
20661,1,1,0
20684,1,1,0
20833,1,1,0
20923,1,1,0
21037,1,1,0
21051,1,1,0
21074,1,1,0
21148,1,1,0
21165,1,1,0
21169,1,1,0
21198,1,1,0
21209,1,1,0
21222,1,1,0
21248,1,1,0
21313,1,1,0
21408,1,1,0
21420,1,1,0
21451,1,1,0
21669,1,1,0
21843,1,1,0
21893,1,1,0
22081,1,1,0
22099,1,1,0
22100,1,1,0
22142,1,1,0
22151,1,1,0
22249,1,1,0
22256,1,1,0
22334,1,1,0
22501,1,1,0
22535,1,1,0
22540,1,1,0
22543,1,1,0
22568,1,1,0
22598,1,1,0
22607,1,1,0
22612,1,1,0
22615,1,1,0
22698,1,1,0
22890,1,1,0
22900,1,1,0
22972,1,1,0
22983,1,1,0
22994,1,1,0
23012,1,1,0
23077,1,1,0
23080,1,1,0
23082,1,1,0
23085,1,1,0
23087,1,1,0
23090,1,1,0
23093,1,1,0
23096,1,1,0
23098,1,1,0
23108,1,1,0
23109,1,1,0
23132,1,1,0
23141,1,1,0
23143,1,1,0
23146,1,1,0
23147,1,1,0
23155,1,1,0
23160,1,1,0
23165,1,1,0
23167,1,1,0
23194,1,1,0
23197,1,1,0
23199,1,1,0
23210,1,1,0
23262,1,1,0
23270,1,1,0
23342,1,1,0
23503,1,1,0
23513,1,1,0
23583,1,1,0
23587,1,1,0
23591,1,1,0
23803,1,1,0
23977,1,1,0
23995,1,1,0
24007,1,1,0
24014,1,1,0
24191,1,1,0
24203,1,1,0
24204,1,1,0
24242,1,1,0
24317,1,1,0
24325,1,1,0
24367,1,1,0
24538,1,1,0
24554,1,1,0
24630,1,1,0
24634,1,1,0
24648,1,1,0
24679,1,1,0
24865,1,1,0
24906,1,1,0
24934,1,1,0
25111,1,1,0
25412,1,1,0
25436,1,1,0
25546,1,1,0
25625,1,1,0
25641,1,1,0
25681,1,1,0
25790,1,1,0
25820,1,1,0
25832,1,1,0
25834,1,1,0
25872,1,1,0
25912,1,1,0
25985,1,1,0
26049,1,1,0
26087,1,1,0
26231,1,1,0
26292,1,1,0
26317,1,1,0
26362,1,1,0
26528,1,1,0
26537,1,1,0
26555,1,1,0
26576,1,1,0
26580,1,1,0
26581,1,1,0
26630,1,1,0
27108,1,1,0
27112,1,1,0
27277,1,1,0
27287,1,1,0
27297,1,1,0
27337,1,1,0
27373,1,1,0
27428,1,1,0
27439,1,1,0
27460,1,1,0
27488,1,1,0
27675,1,1,0
27865,1,1,0
28204,1,1,0
28308,1,1,0
28406,1,1,0
28483,1,1,0
28489,1,1,0
28550,1,1,0
28615,1,1,0
28681,1,1,0
28711,1,1,0
28880,1,1,0
28885,1,1,0
28916,1,1,0
28964,1,1,0
28976,1,1,0
28991,1,1,0
29025,1,1,0
29088,1,1,0
29110,1,1,0
29184,1,1,0
29221,1,1,0
29275,1,1,0
29301,1,1,0
29353,1,1,0
29408,1,1,0
29446,1,1,0
29481,1,1,0
29485,1,1,0
29491,1,1,0
29511,1,1,0
29676,1,1,0
29711,1,1,0
29718,1,1,0
29779,1,1,0
29780,1,1,0
29786,1,1,0
29801,1,1,0
29813,1,1,0
30034,1,1,0
30049,1,1,0
30084,1,1,0
30185,1,1,0
30191,1,1,0
30210,1,1,0
30223,1,1,0
30280,1,1,0
30281,1,1,0
30282,1,1,0
30290,1,1,0
30308,1,1,0
30326,1,1,0
30327,1,1,0
30329,1,1,0
30347,1,1,0
30354,1,1,0
30400,1,1,0
30411,1,1,0
30443,1,1,0
30449,1,1,0
30466,1,1,0
30478,1,1,0
30516,1,1,0
30517,1,1,0
30524,1,1,0
30525,1,1,0
30526,1,1,0
30531,1,1,0
30558,1,1,0
30624,1,1,0
30648,1,1,0
30659,1,1,0
30691,1,1,0
30693,1,1,0
30702,1,1,0
30716,1,1,0
30837,1,1,0
30865,1,1,0
30867,1,1,0
30869,1,1,0
30872,1,1,0
30880,1,1,0
30882,1,1,0
30884,1,1,0
30904,1,1,0
30909,1,1,0
30911,1,1,0
30912,1,1,0
30914,1,1,0
30917,1,1,0
30918,1,1,0
30920,1,1,0
30923,1,1,0
30924,2,2,0
30934,1,1,0
30936,1,1,0
30938,1,1,0
30940,1,1,0
30964,1,1,0
30965,1,1,0
30968,1,1,0
30969,1,1,0
30981,1,1,0
30983,1,1,0
30985,1,1,0
31024,1,1,0
31026,1,1,0
31028,1,1,0
31099,1,1,0
31116,1,1,0
31125,1,1,0
31147,1,1,0
31160,1,1,0
31191,1,1,0
31215,1,1,0
31244,1,1,0
31249,1,1,0
31262,1,1,0
31321,1,1,0
31329,1,1,0
31369,1,1,0
31389,2,2,0
31391,1,1,0
31400,1,1,0
31416,1,1,0
31431,1,1,0
31436,1,1,0
31449,1,1,0
31467,1,1,0
31492,1,1,0
31498,1,1,0
31519,1,1,0
31541,2,2,0
31583,1,1,0
31610,1,1,0
31627,1,1,0
31645,1,1,0
31661,1,1,0
31668,1,1,0
31685,1,1,0
31699,1,1,0
31705,1,1,0
31724,1,1,0
31732,1,1,0
31749,1,1,0
31763,1,1,0
31789,1,1,0
31795,1,1,0
31798,1,1,0
31805,2,2,0
31812,1,1,0
31821,1,1,0
31849,1,1,0
31873,1,1,0
31887,1,1,0
31899,1,1,0
31914,1,1,0
31934,1,1,0
31936,1,1,0
31996,1,1,0
32010,1,1,0
32012,1,1,0
32042,1,1,0
32044,1,1,0
32093,1,1,0
32168,1,1,0
32184,1,1,0
32224,1,1,0
32309,1,1,0
32350,1,1,0
32369,1,1,0
32373,1,1,0
32381,1,1,0
32420,1,1,0
32422,1,1,0
32431,1,1,0
32434,1,1,0
32464,1,1,0
32485,1,1,0
32528,1,1,0
32582,1,1,0
32592,1,1,0
32601,1,1,0
32690,1,1,0
32713,1,1,0
32743,1,1,0
32752,1,1,0
32773,1,1,0
32777,1,1,0
32789,2,2,0
32792,1,1,0
32796,1,1,0
32800,1,1,0
32815,1,1,0
32884,1,1,0
32887,1,1,0
32913,1,1,0
32914,1,1,0
32989,1,1,0
33115,1,1,0
33130,1,1,0
33163,1,1,0
33307,1,1,0
33355,1,1,0
33361,1,1,0
33365,1,1,0
33370,1,1,0
33375,1,1,0
33378,1,1,0
33380,1,1,0
33384,1,1,0
33387,1,1,0
33392,1,1,0
33416,1,1,0
33421,1,1,0
33441,1,1,0
33465,1,1,0
33467,1,1,0
33468,1,1,0
33471,1,1,0
33493,1,1,0
33526,1,1,0
33532,1,1,0
33545,1,1,0
33572,1,1,0
33624,1,1,0
33627,1,1,0
33630,1,1,0
33657,1,1,0
33668,1,1,0
33671,1,1,0
33686,2,2,0
33714,2,2,0
33722,1,1,0
33729,1,1,0
33735,2,2,0
33740,2,2,0
33746,1,1,0
33747,1,1,0
33783,1,1,0
33785,1,1,0
33788,2,2,0
33795,1,1,0
33804,1,1,0
33819,1,1,0
33831,1,1,0
33846,1,1,0
33871,1,1,0
33881,1,1,0
33907,1,1,0
33929,1,1,0
33943,1,1,0
33950,1,1,0
33952,1,1,0
33973,1,1,0
33979,1,1,0
33987,2,2,0
34022,1,1,0
34025,1,1,0
34028,1,1,0
34030,1,1,0
34032,2,2,0
34043,1,1,0
34046,1,1,0
34052,2,2,0
34085,2,2,0
34105,1,1,0
34134,1,1,0
34148,1,1,0
34187,1,1,0
34188,1,1,0
34192,1,1,0
34198,1,1,0
34201,1,1,0
34207,1,1,0
34208,1,1,0
34211,1,1,0
34212,1,1,0
34213,1,1,0
34219,1,1,0
34226,1,1,0
34240,1,1,0
34254,1,1,0
34359,1,1,0
34361,1,1,0
34363,1,1,0
34366,1,1,0
34488,1,1,0
34496,1,1,0
34509,1,1,0
34516,1,1,0
34544,1,1,0
34583,1,1,0
34601,1,1,0
34644,1,1,0
34663,1,1,0
34689,1,1,0
34707,1,1,0
34770,1,1,0
34796,1,1,0
34802,1,1,0
34825,1,1,0
34835,1,1,0
34867,1,1,0
34874,1,1,0
34922,1,1,0
34932,1,1,0
34995,1,1,0
34998,1,1,0
35007,1,1,0
35036,1,1,0
35109,1,1,0
35129,1,1,0
35190,1,1,0
35260,1,1,0
35301,1,1,0
35314,1,1,0
35315,1,1,0
35325,1,1,0
35331,1,1,0
35366,2,2,0
35387,1,1,0
35525,1,1,0
35604,1,1,0
35637,1,1,0
35640,1,1,0
35643,1,1,0
35655,1,1,0
35673,1,1,0
35682,1,1,0
35695,1,1,0
35752,1,1,0
35760,1,1,0
35829,1,1,0
35837,1,1,0
35854,1,1,0
35879,1,1,0
35919,1,1,0
35938,1,1,0
35943,1,1,0
35978,1,1,0
36004,1,1,0
36007,1,1,0
36014,1,1,0
36020,1,1,0
36056,1,1,0
36057,1,1,0
36063,1,1,0
36070,1,1,0
36130,1,1,0
36147,1,1,0
36149,1,1,0
36152,1,1,0
36155,1,1,0
36192,1,1,0
36210,1,1,0
36214,1,1,0
36225,1,1,0
36234,1,1,0
36235,1,1,0
36253,1,1,0
36255,1,1,0
36281,1,1,0
36311,1,1,0
36314,1,1,0
36324,1,1,0
36338,1,1,0
36346,1,1,0
36354,1,1,0
36410,1,1,0
36414,1,1,0
36453,1,1,0
36471,1,1,0
36530,1,1,0
36532,1,1,0
36581,1,1,0
36582,1,1,0
36790,1,1,0
36826,1,1,0
36856,1,1,0
36915,1,1,0
